,"Quarter Ended.Sept. 28, 2024","Quarter Ended.Sept. 2023 30,",Change
Income before income taxes,$948,"$1,007",
Add:,,,
Corporate and unallocated shared expenses,408,293,(399)
Restructuring and impairment charges,"1,543",965,(60%)
"Interest expense, net",361,282,(28%)
Amortization of TFCF and Hulu intangible assets and fair value step-up on film and television costs,395,429,8%
Total segment operating income,"$3,655","$2,976",23%
