,"Quarter Ended.September 30, 2023.Entertainment","Quarter Ended.September 30, 2023.Sports","Quarter Ended.September 30, 2023.DTC Streaming Businesses","Quarter Ended.December 30, 2023.Entertainment","Quarter Ended.December 30, 2023.Sports","Quarter Ended.December 30, 2023.DTC Streaming Businesses"
Linear Networks,$805,$948,,"$1,236",($25),
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),(420),33,,(138),(78),
Content Sales/Licensing and Other,(149),,,(224),,
Segment operating income (loss),$236,,,$874,,
,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended
,"March 30, 2024","March 30, 2024","March 30, 2024","June 2024 29,","June 2024 29,","June 2024 29,"
,Entertainment,Sports,DTC Streaming Businesses,Entertainment,Sports,DTC Streaming Businesses
Linear Networks,$752,$843,,$966,$736,
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),47,(65),,(19),66,$47
Content Sales/Licensing and Other,(18),,,254,,
Segment operating income,$781,$778,,"$1,201",$802,
