,"Year Ended.Sept. 28, 2024","Year Ended.Sept. 2023 30,",Change
Income before income taxes,"$7,569",,59%
Add (subtract):,,,
Corporate and unallocated shared expenses,"1,435","1,147",(25%)
Restructuring and impairment charges,"3,595","3,836",6%
"Other (income) expense, net",65,(96),nm
"Interest expense, net","1,260","1,209",(4%)
Amortization of TFCF and Hulu intangible assets and fair value step-up on film and television costs,"1,677","1,998",16%
Total segment operating income,"$15,601","412,863",21%
