,hulu Subscribers.,hulu Subscribers.,hulu Subscribers.,Q4'24 vs..Q3'24,Q4'24 vs..Q4'23
Total Hulu,48.5,51.1,52.0,+0.9,+3.5
LiveTV + SVOD,4.6,4.4,4.6,+0.2,+0.0
SVOD Only,43.9,46.7,47.4,+0.7,+3.5
,04'23,Q3'24,Q4'24,,
SVOD Only ARPU,,812.73,812.54,,
Live TV + SVOD ARPU,$90.08,$96.11,$95.82,,
