,"Quarters Ended June 30,.2025","Quarters Ended June 30,.2024","Quarters Ended June 30,.YoY% Inc/(Dec)","Six Months Ended June 30,.2025","Six Months Ended June 30,.2024","Six Months Ended June 30,.YoY% Inc/(Dec)"
GAAPDilutedEPS,$ 4.08,$ 4.15,(2)%,$ 7.71,$ 7.48,3%
AccertifyGainonSale(pretax),$ -,$ 0.73,,$ -,$ 0.73,
TaxImpactofAccertifyGainonSale,$ -,$ (0.07),,$ -,$ (0.07),
AccertifyGainonSale(aftertax),$ -,$ 0.66,,$ -,$ 0.66,
AdjustedDilutedEPSExcludingtheImpactof AccertifyGain,$ 4.08,$ 3.49,17%,$ 7.71,$ 6.82,13%
