,2Q 2025,2Q 2024,Change
Sales,"$10,352","$9,577",8%
Organic 1 Growth,,,5%
Operating Income,"$2,114","$1,978",7%
Operating Income Margin,20.4%,20.7%,-30 bps
Segment Profit 1,"$2,366","$2,199",8%
Segment Margin 1,22.9%,23.0%,-10 bps
Earnings Per Share,$2.45,$2.36,4%
Adjusted Earnings Per Share 1,$2.75,$2.49,10%
Operating Cash Flow,"$1,319","$1,371",(4%)
Free Cash Flow 1,"$1,016","$1,112",(9%)
